PID,total_distance,gross_tax
0100018002,9170755832424.336,6702.08
0100018004,5356200588995.765,7313.53
0100018006,5356199561051.411,7317.89
0100018008,5356198533107.216,7555.07
0100019000,17903382626.495155,0.0
0100019002,9170755832424.336,8012.03
0100019004,5356200588995.765,6061.25
0100019006,5356199561051.411,6334.34
0100024000,348336716923.0116,0.0
0100024002,9170755832424.336,4472.77
0100024004,5356200588995.765,4829.63
0100024006,5356199561051.411,5624.96
0100109002,26520197481.18579,4760.0
0100109004,10014858562.688143,4775.23
0100109006,10014858562.688143,5048.32
0100141000,8293826892.823849,0.0
0100141002,9170755832424.336,5008.06
0100141004,5356200588995.765,5113.6
0100141006,8293826892.823849,5343.17
0100145000,7111606786.975382,0.0
0100145002,10014858562.688143,4281.28
0100145004,10014858562.688143,4395.52
0100145006,10014858562.688143,4556.54
0100153000,11111987029.840246,0.0
0100153002,17889836630.309475,2498.04
0100153004,5356200588995.765,3391.3
0100153006,24019695684.849483,3712.26
0100153008,10014858562.688143,4023.42
0100154000,34682236689.17418,0.0
0100154002,10014858562.688143,2692.8
0100154004,10014858562.688143,3355.39
0100154006,10014858562.688143,3451.13
0100154008,5356198533107.216,3773.18
0100155000,10014858562.688143,0.0
0100155002,9170755832424.336,3631.74
0100155004,5048379061.549002,4128.96
0100155006,10014858562.688143,4124.61
0100177000,12326697127.390865,0.0
PID,total_distance,gross_tax
PID,total_distance,gross_tax
0100177002,10014858562.688143,5431.29
0100177004,10014858562.688143,5314.88
0100177006,10014858562.688143,5619.52
0100181000,10014858562.688143,0.0
0100181002,10014858562.688143,6054.72
0100181004,10014858562.688143,5021.12
0100181006,10014858562.688143,5293.12
0100186000,10014858562.688143,0.0
0100186002,10014858562.688143,5776.19
0100186004,10014858562.688143,5776.19
0100192000,10014858562.688143,0.0
0100192002,10014858562.688143,5136.45
0100192004,10014858562.688143,5230.02
0100192006,10014858562.688143,5014.59
0100194000,10014858562.688143,0.0
0100194002,10014858562.688143,5426.94
0100194004,10014858562.688143,4479.29
0100196000,10014858562.688143,0.0
0100196002,10014858562.688143,4795.9
0100196004,10014858562.688143,4911.23
0100196006,10014858562.688143,5203.9
0100213000,10014858562.688143,0.0
0100213002,10014858562.688143,3819.97
0100213004,5118369740942.923,4879.68
0100213006,10014858562.688143,2660.16
0100213008,10014858562.688143,2992.0
0100250000,11127213956.499537,0.0
