PID,total_distance,gross_tax
0100002000,10861111807.959343,8103.42
0100003000,10868203580.958609,7947.84
0100004000,1096441470385.9065,7266.75
0100006000,10967519095.798456,12859.07
0100007000,11331966083.39255,12529.41
0100008000,10901161546.377897,11371.77
0100009000,10911174156.723486,8747.52
0100010000,6535938096672.491,10254.4
0100012000,10936638513.322754,8950.97
0100013000,10014858562.688143,9713.66
0100014000,5789412956.439278,10715.71
0100017000,16768376806.442297,7424.51
0100020000,11013284863.899624,10455.68
0100022000,11023710218.622402,7987.01
0100023000,11031190819.405045,8089.28
0100025000,11047856499.779917,8033.79
0100029000,11021128363.838625,10435.01
0100030000,62886457342.2733,10259.84
0100031000,11003237996.629953,11365.25
0100035000,30425482473.920433,9493.89
0100036000,10960160955.975159,9229.5
0100038000,6535938096672.491,8191.55
0100039000,10932860668.432508,8529.92
0100043000,10889024215.568901,8344.96
0100044000,10883095711.293001,7363.58
0100047000,9797297792.692623,9046.72
0100049000,10844181485.43231,8965.12
0100054000,12883870938.806158,6306.05
0100055000,10860687697.28001,6778.24
0100057000,33628141409.07037,10985.54
0100058000,5301301257.919181,10975.74
0100063000,6985265343.743354,9063.04
0100064000,15727669980.26397,8569.09
0100065000,11040907911.827257,9792.0
0100066000,11049568035.461971,11335.87
0100068000,11074245408.936953,10470.91
0100069000,11078584775.737322,8513.6
0100073000,11130727746.314087,10625.41
0100075000,11143809884.772184,10639.55
0100076000,20691776053.132496,9735.42
0100097000,11032404068.495712,9490.62
0100101000,5301301257.919181,8939.01
0100102000,10816857049.727747,12339.01
0100105000,372264819346.9126,12486.98
0100106000,10014858562.688143,9743.04
0100107000,10014858562.688143,9044.54
0100108000,10014858562.688143,9864.9
0100111000,31447398393.48353,7259.14
0100112000,4580674367823.011,9844.22
0100123000,6535938096672.491,10930.05
0100124000,11226182267.944283,12142.08
0100125000,11216001816.289999,7003.45
0100126000,11208402944.651588,9227.33
0100127000,10130957545.587524,12340.1
0100128000,15635094599.480297,11660.1
0100129000,11181752120.285862,12216.06
0100130000,11184870273.637726,10779.9
0100132000,11149587808.485205,8154.56
0100133000,11130727746.314087,8314.5
0100134000,11130727746.314087,12822.08
