PID,total_distance,gross_tax
0100026000,10014858562.688143,5470.46
0100028000,10014858562.688143,7730.24
0100032000,10014858562.688143,7437.57
0100034000,65496855191.020256,6190.72
0100042000,19514617041.90784,7354.88
0100046000,10014858562.688143,7083.97
0100050000,10014858562.688143,8229.63
0100059000,10014858562.688143,6675.97
0100060000,9860909259.004978,5123.39
0100062000,11016670731.688019,5465.02
0100067000,18246009947.35082,9225.15
0100070000,11092025947.552374,7586.62
0100071000,11102609030.143337,7482.17
0100072000,11113124398.76294,8838.91
0100074000,11124124175.283398,6511.68
0100099000,10014858562.688143,7512.64
0100103000,10014858562.688143,7075.26
0100110000,10014858562.688143,7698.69
0100113000,11173300787.443474,5476.99
0100115000,27873159477.847786,5583.62
0100138000,11111506482.600245,7214.53
0100163000,11188714500.28665,4256.25
0100165000,11202181930.976154,6733.63
0100193000,1338120672558.3838,7913.02
0100195010,8928539663.531994,6533.44
0100209000,10014858562.688143,7221.05
0100210000,10014858562.688143,10680.89
0100211000,10014858562.688143,8618.05
0100227000,11270196381.506916,6234.24
0100246000,11169251157.294922,6956.67
0100247000,11161825825.665882,7391.87
0100253000,11101022251.952711,7754.17
0100286000,10014858562.688143,7116.61
0100288000,10014858562.688143,6769.53
0100323000,10014858562.688143,5308.35
0100333000,11138623691.889097,7369.02
0100341000,11074253827.34308,5354.05
0100345000,11050695313.767757,7360.32
0100372000,10014858562.688143,7477.82
0100377000,10014858562.688143,6410.49
0100417000,11625090694.698933,6031.87
0100420000,11627326229.897785,6270.14
0100421000,6535938096672.491,7380.99
0100422000,11649610766.034868,6877.25
0100445020,11469110757.255072,7277.63
0100457000,9012575855.569918,5216.96
0100459000,10014858562.688143,5156.03
0100501000,11477148165.251995,5881.73
0100503000,11261367941.484055,5026.56
0100511000,11666395769.338179,8212.22
0100512000,11674689356.285069,6187.45
0100513000,11701143199.28229,6846.78
0100518000,11691012162.539537,5566.21
0100539000,12745816222.234333,6353.92
0100540000,12736234494.661732,6804.35
0100541000,12726475646.89454,6247.29
0100542000,12717754799.535265,6513.85
0100543000,12709219545.496803,7265.66
0100544000,12700150362.024925,7796.61
0100545000,10014858562.688143,7338.56
0100546000,12682905838.384655,5967.68
0100553000,15842243615.733973,5852.35
0100555000,12543933993.478136,4782.85
0100558000,12513063980.728397,7545.28
0100560000,12437174769.239817,8178.49
0100567000,9170755832424.336,7722.62
0100568000,12465713319.168875,6055.81
0100573000,12437741179.872208,8029.44
0100574000,12431037689.811947,7336.38
0100575000,12447855138.32102,7693.25
0100576000,5030158421410.943,7532.22
0100579000,12404127638.258217,7680.19
0100580000,12399145393.923298,7712.83
0100581000,12392795877.272263,7317.89
0100583000,12374631240.225359,9479.74
0100586000,5679168080.824943,5393.22
0100587000,12349315511.951479,5315.97
0100589000,12343720989.545534,6825.02
0100590000,12334038396.782671,5537.92
0100591000,12330780303.068762,5498.75
0100602000,12473409878.206095,9332.86
0100606000,12503202660.341597,8410.24
0100618000,12440226087.950506,7592.06
0100621000,12386399733.093573,7390.78
0100622000,12384937420.264414,8986.88
0100623000,12372382020.89788,5481.34
0100624000,12368832518.63812,6344.13
0100629000,12319470444.762709,10240.25
0100631000,12300898382.302113,6459.45
0100632000,12290035382.076208,6914.24
0100633000,12285734527.926424,6604.16
0100634000,12280891293.874147,6802.17
0100637000,12265764269.341784,9097.85
0100642000,9170755832424.336,8467.9
0100651000,12327074097.949295,5546.62
0100653000,11050695313.767757,6025.34
0100656000,12351601493.996878,5651.07
0100657000,12356132822.477333,5431.29
0100658000,15684594968.163958,5871.94
0100659000,11050695313.767757,6053.63
0100662000,12373784372.08355,5622.78
0100667000,10014858562.688143,6907.71
0100668000,14614421630.198496,6865.28
0100670000,12411392570.020487,7197.12
0100671000,12415950436.892464,6706.43
0100672000,12420237247.546097,7290.69
0100673000,14362604945.188904,6716.22
0100674000,12429027408.203302,7398.4
0100675000,12433809998.666248,7806.4
0100676000,12457909115.216553,7073.09
0100677000,12442918095.69418,6808.7
0100689000,12218043820.449547,10420.86
0100695000,12173054944.612535,6142.85
0100696000,25279915737.1099,8199.17
0100697000,12188073147.902184,8273.15
0100700000,10014858562.688143,6079.74
0100701000,12188145911.672947,6242.94
0100704000,12152904190.73843,7943.49
0100710000,12204339615.038534,8597.38
0100721000,12268571702.283768,7569.22
0100723000,28150590135.24289,7039.36
0100725000,12292199778.524916,7128.57
0100729000,6307156413630.959,7167.74
0100732000,12139168159.1342,7817.28
0100735000,12114778166.66018,7829.25
0100736000,12104058468.278927,7583.36
0100738000,15151379507.7586,6075.39
0100740000,13314883129.752722,8358.01
0100743010,12015067707.448511,6303.87
0100755000,16381706156.410173,5962.24
0100757000,12033371593.437492,7943.49
0100769000,11868965939.745714,6124.35
0100770000,11860583036.376137,6273.41
0100771000,16007336783.106499,6151.55
0100773000,5304889015.423697,7041.54
0100774000,10979408793.540617,6167.87
0100775000,11809774966.917183,5512.89
0100776000,11798968651.895771,6261.44
0100777000,11788164897.66394,5731.58
0100778000,13314883129.752722,6506.24
0100793001,5170588640.702184,8242.69
0100805000,11958175466.5862,5878.46
0100806000,6535938096672.491,7401.66
0100809000,11951317422.702335,7726.97
0100811000,11969211178.390217,7035.01
0100812000,11977874194.506279,7006.72
0100817000,12029728512.664995,7799.87
0100819000,12046387504.816292,6308.22
0100823000,11876702343.34922,5715.26
0100824000,6535938096672.491,6547.58
0100826000,11855236341.143166,6046.02
0100827000,11845732387.681862,6102.59
0100836000,11847234687.103788,7673.66
